order_id,customer_id,seller_id,order_date,delivery_date,order_total_price,quantity,payment_method,discount
32,9918,592,2025-06-13,2026-04-30,1156.83,7,Chase,10.09
33,3194,847,2024-06-28,2026-07-24,798.13,2,Chase,3.69
34,3809,672,2024-11-16,2025-10-09,866.81,3,Discover,12.51
35,4911,690,2024-08-12,2025-10-24,753.75,1,Discover,20.91
36,6926,423,2025-08-15,2025-07-03,979.18,2,Chase,18.26
37,245,780,2024-02-09,2025-11-15,1441.66,5,American Express,1.46
38,5070,25,2024-05-29,2026-10-25,748.26,7,American Express,21.73
39,3118,394,2024-12-02,2025-01-21,917.81,10,Chase,19.03
40,9072,109,2025-05-27,2026-04-08,1402.95,1,Chase,17.94
41,6631,239,2025-10-24,2026-02-06,918.69,7,American Express,24.27
42,2746,841,2025-07-12,2026-03-24,543.87,3,MasterCard,13.96
43,6434,147,2024-02-13,2025-07-24,565.46,6,Discover,5.26
44,2468,680,2024-04-06,2025-09-01,858.4,1,Visa,8.24
45,2236,376,2024-07-04,2025-12-02,889.7,9,Chase,3.56
46,9231,525,2025-11-10,2026-01-20,536.42,1,Chase,1.41
47,2892,779,2024-08-13,2025-12-01,1093.05,5,Chase,23.21
48,5867,783,2025-01-01,2025-07-04,1424.71,7,MasterCard,24.46
49,8225,622,2024-11-08,2026-06-26,1433.43,6,Visa,5.09
50,8265,247,2024-05-14,2025-03-30,567.24,8,Discover,5.66
51,5130,292,2024-02-11,2025-04-10,989.37,4,Discover,20.38
52,2900,256,2024-03-11,2026-11-08,1064.22,1,Visa,6.9
53,5984,666,2024-02-21,2025-12-27,1097.39,2,American Express,5.46
54,2050,328,2025-02-10,2025-01-04,1369.61,2,American Express,20.96
55,9299,590,2024-05-28,2026-12-01,1451.47,4,Discover,7.91
56,9726,39,2024-02-23,2025-09-04,792.86,3,Discover,9.42
57,7613,694,2024-08-28,2026-01-23,1128.46,7,Discover,16.84
58,7439,140,2024-04-24,2025-05-27,650.07,8,Visa,9.81
59,6289,433,2024-03-01,2025-02-09,1454.19,8,Visa,13.44
60,7087,553,2024-03-14,2025-11-02,1484.52,2,Visa,6.02
61,695,982,2025-04-03,2025-07-13,1379.92,7,Chase,12.54
62,5086,189,2024-07-07,2025-09-06,908.63,3,MasterCard,18.43
63,9754,342,2024-04-11,2025-10-19,556.28,5,MasterCard,24.4
64,5356,353,2025-08-07,2026-04-09,637.03,2,Chase,12.31
65,1583,874,2025-01-08,2026-05-02,1423.62,7,Visa,19.47
66,3556,339,2025-08-02,2026-04-18,1443.73,7,Visa,1.5
67,6618,98,2024-06-01,2025-06-29,905.23,6,Chase,14.08
68,2486,373,2024-05-30,2026-07-09,537.78,6,MasterCard,15.83
69,3329,273,2024-12-13,2026-05-24,775.21,10,MasterCard,17.02
70,8254,332,2025-10-04,2025-12-17,1087.48,2,American Express,14.68
71,2727,215,2025-05-04,2026-02-07,1084.63,4,Visa,9.86
72,9469,951,2025-01-09,2025-01-31,1064.18,10,MasterCard,5.07
73,1864,459,2024-03-28,2026-03-24,1062.72,8,American Express,13.73
74,3887,354,2025-07-07,2025-09-08,670.22,10,American Express,20.82
75,9376,833,2025-12-25,2025-04-24,703.65,1,Discover,11.65
76,5088,847,2024-08-19,2025-12-03,824.84,2,American Express,13.17
77,9148,667,2025-11-12,2025-08-02,578.58,8,MasterCard,24.91
78,972,920,2024-04-12,2026-01-03,930.09,6,Chase,24.99
79,831,546,2024-01-13,2025-03-22,911.26,2,Discover,7.47
80,5987,597,2024-03-27,2026-09-22,689.4,8,MasterCard,4.57
81,9960,569,2025-03-28,2025-12-15,1354.58,6,Visa,20.41
82,102,394,2024-02-26,2025-06-18,1351.54,4,Visa,5.46
83,4878,986,2024-06-25,2026-01-15,638.21,6,Visa,24.17
84,8769,831,2025-03-08,2026-11-12,1117.77,2,Chase,2.76
85,182,821,2025-03-13,2026-05-14,521.79,10,Discover,22.16
86,9968,86,2025-04-21,2025-11-19,1139.44,4,MasterCard,11.35
87,9729,128,2024-10-10,2026-05-12,1212.09,7,Discover,21.19
88,1332,208,2024-06-10,2025-12-07,1328.08,1,MasterCard,9.86
89,878,169,2025-08-18,2026-05-05,1055.62,7,Visa,7.92
90,2206,646,2025-09-22,2026-08-13,837.41,2,Discover,6.59
91,4704,777,2024-05-16,2026-08-07,1355.37,7,Visa,16.19
92,4748,625,2025-04-30,2025-11-20,629.39,3,Chase,2.63
93,5906,906,2024-10-07,2025-01-31,1189.27,9,MasterCard,3.68
94,5626,265,2024-02-29,2025-08-04,1378.44,6,Visa,8.67
95,3621,187,2024-09-15,2025-11-26,1104.91,5,American Express,22.66
96,4951,840,2025-06-14,2025-10-24,1021.66,4,Visa,18.06
97,5825,602,2025-06-30,2025-08-13,820.38,6,Visa,21.16
98,5283,803,2025-04-22,2025-05-10,833.04,8,Visa,11.39
99,9202,697,2024-09-24,2026-10-30,881.34,4,Visa,24.9
